,tweet_text
913,No fan of a new #SXSW trend - audience who share opinions about keeping an iPad. Not here to listen to you. #Annoying
3895,Has Google already started its next social media flop? #Sxsw
4340,I asked one of the carpenters whether #Aplle paid every single stand here to show his product on iPad2s.
1378,SXSW 2011: News of the iPad News Apps quickly fades under the digital delegates {link} via @memention #SXSW XIPAD
394,"IPAD 2 comes out at #SXSW, I guess Apple is pretty desperate to draw it."
2774,What happened to the Taxi Magic iPhone app? Now I can only call the taxis via IT #SXSW
4700,Aron Pilhofer of the New York Times and Design Guru Khoi Vinh Express -Skepsis towards Ipad News -Apps at #SXSW {Link}
259,Of course Apple built a tempor in Austin.
8031,"Not to hate on the iPad, but fleets of nerds that are armed with iPads that navigate through crowds"
5156,"Rt @mmention and it will be sucking.rt @memention rt @memention Google will be an important new social service, circles, at #SXSW today} preview"
2882,Apple likes it if you pay you. The Mag Apple.- Barry Diller #SXSW
2834,Oh no @mmention #sxsw fail.
5446,"RT @memention Diller on Google TV: ""The first product was not good."
8409,"You have to wait for 4-5 weeks for an iPad 2, but not on the Popup #Aplexdt! Significations daily (via @MENTION #SXSW"
7706,�� The most classistic fascist company that exist « - Kara Swisher #SXSW #Aplle
8611,I think my Effing husband stands in line for a #ipad 2.Can someone point out the line-up for woman number 2? #Sxswi #sxsw
1342,"At lunchtime the iPhone at mid-battery. This socket that is blocked by an immovable stand, does not fulfill no purpose than mocking me.#Sxsw {link}"
4393,"My tweet from #SXSW was today thanks to the iPhone app #fail @mention iphootsuite, is the epic replacement! #Owllove"
967,I left my paper leader in the hotel. I don't know how to deal with it. What does that say about the usability of the iPad/iPhone -app? #Sxsw
7368,"Enough already .... ��@mention Google to start a new new social network called Circles, possibly today {link} #sxsw� ۝"
5430,"RT @MENTION Delicious ironic Google Privacy Party has whole through ""Bank Kartell"", military science dictatorship & quot; Taxi -rant! #Sxsw"
6700,Rt @mmention Who uses Google TV in this room? Nobody increases a hand in a packed room at #SocialViewing session at #SXSW
6428,"RT @mmention films of #SXSW Talk, & quot;iPad design headache & quot; {link} #tapworthy. really interesting for designers."
3924,& quot;Apple: The most elegant fascist society in America today.& quot;- kara swisher #sxsw #flipboard
2181,"Will someone write an app with which I can consistently enter ""shit"" on my damn iPhone? Hey #Sxsw ... jump on it."
686,The iPhone Twitter Auto -Restoring from Links for me.#SXSW
626,"I thought I would use my iPad a lot during #SXSW, but I haven't even touched it."
3127,"& quot;Google is looking for technical solutions, which is why they are not great in the community because it is a human solution.& quot; #sxsw"
4185,@MENTION my iPhone fell & amp; I had to carry out a fresh restoration & amp; I lost my favorite -dali/canvas Pak? Can I ever get it back? Are you @sxsw?
3987,Today Google will start Facebook competitive circles.
4535,I record a & quot; button for #ipad 2 lines. {Link} #SXSW
7939,"Off to get my badge, then to find food and drink. Then find out why my iPhone @Mmention does not roam at #sxsw. Then unpack priorities"
1691,Disaster = iPhone died in the middle of #sxsw ... cannot work. On the way to the Apple Store.
4220,"Please I can hear more people talk about the iPad 2, preferably with more #SXSW haashtags - I really have a deficit in my life!"
1165,Many thanks to @mmention to test a car for the Apple Store. Now we hope that you can repair my phone !!#SXSW
797,"Google to start product! Wait, no introduction, but the product is available."
3937,"Barry Diller says only iPad magazines like The Daily do not make sense, {link} #sxsw"
3029,"@MENTION for the life of mine, I can't get my iPad to synchronize all sessions, only partially. The iPhone is fine, iPad decides what it wants.#sxsw"
994,Brilliant Read: respectable and media specialist: The iPad will not save you from @mention {link} #usguys #sxsw
615,".@Mentioned I have a 3g -iPhone. After 3 hours it tweeted it at #rise_austin, it was dead! I have to upgrade.plugin stations at #SXSW."
101,"Know the ""dataviz & quot; translated into"" satanic """" on an iPhone. I only say '.#Sxsw"
8298,Wow you suck {link} ipad #sxsw Rebecca black #fab5
5958,RT @memention It is official: people who use the iPad 2 to take photos just look strange.#Sxsw
1309,@Mmention - #Aplle is the classic fascist company in America. Elegant. #sxsw #rji
5967,RT @MENTION JOSH Clark: I hate the back button of the iPad with the heat of a million sunbathing. #Tapworthy #sxsw
6891,"NYT -App for iPad: Not ""Here is an amazing way to serve our readership, & quot; more"" Here is a market chance that we cannot ignore. """
5692,RT @MENTION Google was unable to carry out disturbing innovations and to acquire 89 startups in recent years.
3218,"Lunch with @mmention at #cnngrill. View from the HTML5 developer trenches: Android is painful, iOS is slim (for what @mmention does) #sxsw"
2501,"New iPhone car correction has already tried to ""change colleagues"". & Quot; vissigots. & Quot;"
3163,@MENTION Google Circles will be lame.#sxsw & lt;3
65,Visitor @MENTION IPAD Design Headache #SXSW {Link}}
7397,#SXSW tried for 2 days with iPad with MacBook Pro.Das experiment is over. I love a real keyboard.
